340A,222,2.99,223,3.16
340B,222,2.93,221,2.88
340C,222,2.68,222,2.77
350A,218,3.35,217,3.25
350B,217,3.45,217,3.21
350C,218,3.31,217,3.42
360A,219,3.63,216,3.63
360B,219,3.42,221,3.7
360C,215,3.49,215,3.34
380A,206,3.95,201,3.75
380B,204,3.74,203,4.2
380C,205,4.32,203,4.34
400A,193,4.49,188,4.6
400B,189,4.47,183,5.06
400C,182,4.47,178,5.44
410A,185,9.74,189,9.82
410B,185,8.74,184,8.54
410C,186,10.17,186,10.75
420A,180,6.04,179,6.28
420B,179,5.74,178,5.68
420C,178,6.74,180,6.08
440A,172,2.67,168,2.71
440B,169,2.83,171,2.85
440C,173,2.72,170,2.68
450A,167,2.45,162,2.54
450B,167,2.76,165,2.42
450C,169,2.59,169,2.73
