Wavelength / nm,Absorbance
250,0.4187
251,0.3958
252,0.3769
253,0.3633
254,0.3531
255,0.3449
256,0.3389
257,0.3326
258,0.3281
259,0.3247
260,0.3216
261,0.3211
262,0.3224
263,0.3181
264,0.3152
265,0.3144
266,0.3107
267,0.3087
268,0.3133
269,0.3092
270,0.2962
271,0.2845
272,0.2775
273,0.2733
274,0.271
275,0.2707
276,0.2719
277,0.2735
278,0.2756
279,0.2787
280,0.2814
281,0.285
282,0.2892
283,0.2934
284,0.2976
285,0.3026
286,0.3073
287,0.3122
288,0.3168
289,0.3209
290,0.3254
291,0.3286
292,0.3313
293,0.3325
294,0.3331
295,0.3327
296,0.3322
297,0.3316
298,0.3313
299,0.3312
300,0.331
301,0.3312
302,0.3308
303,0.3296
304,0.3261
305,0.3207
306,0.3129
307,0.302
308,0.2895
309,0.2758
310,0.261
311,0.2478
312,0.2357
313,0.2254
314,0.2163
315,0.2081
316,0.2021
317,0.1975
318,0.1941
319,0.1914
320,0.1897
321,0.1887
322,0.1885
323,0.1885
324,0.1888
325,0.1894
326,0.1906
327,0.1924
328,0.1928
329,0.1944
330,0.1955
331,0.1966
332,0.1978
333,0.1995
334,0.1998
335,0.2015
336,0.203
337,0.2053
338,0.2074
339,0.21
340,0.2129
341,0.2166
342,0.2203
343,0.2244
344,0.2283
345,0.2326
346,0.2375
347,0.2427
348,0.2477
349,0.2526
350,0.2584
351,0.2649
352,0.2703
353,0.2759
354,0.2828
355,0.2898
356,0.2973
357,0.3057
358,0.3139
359,0.3227
360,0.3316
361,0.3415
362,0.3514
363,0.3625
364,0.3722
365,0.3829
366,0.3936
367,0.404
368,0.414
369,0.4239
370,0.4331
371,0.4418
372,0.45
373,0.458
374,0.4665
375,0.4739
376,0.4811
377,0.489
378,0.4968
379,0.5049
380,0.5127
381,0.5204
382,0.5274
383,0.5338
384,0.5394
385,0.5429
386,0.5449
387,0.5457
388,0.5437
389,0.5404
390,0.5352
391,0.5282
392,0.5194
393,0.5098
394,0.5
395,0.4911
396,0.4827
397,0.4756
398,0.4698
399,0.4653
400,0.4624
401,0.4605
402,0.4594
403,0.4587
404,0.459
405,0.4589
406,0.4592
407,0.4589
408,0.4591
409,0.4584
410,0.4571
411,0.4563
412,0.4549
413,0.4528
414,0.451
415,0.4488
416,0.4455
417,0.4421
418,0.4386
419,0.434
420,0.4291
421,0.4243
422,0.4182
423,0.4113
424,0.4036
425,0.3954
426,0.3862
427,0.3766
428,0.3664
429,0.355
430,0.3432
431,0.3302
432,0.3171
433,0.303
434,0.2885
435,0.2746
436,0.2603
437,0.246
438,0.2321
439,0.2177
440,0.2035
441,0.1901
442,0.1769
443,0.1644
444,0.1526
445,0.1408
446,0.13
447,0.1197
448,0.1096
449,0.1
450,0.0912
451,0.0837
452,0.076
453,0.0689
454,0.0625
455,0.0569
456,0.0512
457,0.0465
458,0.0419
459,0.0377
460,0.0338
461,0.0304
462,0.0274
463,0.0246
464,0.022
465,0.0198
466,0.0179
467,0.0157
468,0.0146
469,0.0128
470,0.0115
471,0.0103
472,0.009
473,0.0081
474,0.0073
475,0.0066
476,0.006
477,0.0051
478,0.0049
479,0.0041
480,0.0036
481,0.0032
482,0.003
483,0.0028
484,0.0024
485,0.0021
486,0.0021
487,0.0019
488,0.0014
489,0.0016
490,0.0016
491,0.0011
492,0.0013
493,0.001
494,0.0009
495,0.0007
496,0.0011
497,0.0009
498,0.0008
499,0.0008
500,0.0009
501,0.0009
502,0.0009
503,0.0005
504,0.0008
505,0.0006
506,0.0007
507,0.0005
508,0.0006
509,0.0007
510,0.0007
511,0.0006
512,0.0003
513,0.0005
514,0.0005
515,0.0004
516,0.0005
517,0.0007
518,0.0003
519,0.0005
520,0.0007
521,0.0006
522,0.0007
523,0.0003
524,0.0007
525,0.0004
526,0.0002
527,0.0006
528,0.0006
529,0.0004
530,0.0005
531,0.0005
532,0.0002
533,0.0006
534,0.0004
535,0.0002
536,0.0002
537,0.0003
538,0.0004
539,0.0002
540,0.0005
541,0.0003
542,0.0003
543,0.0005
544,0.0006
545,0.0003
546,0.0004
547,0.0003
548,0.0004
549,0.0002
550,0.0004
551,0.0002
552,0.0004
553,0.0004
554,0.0003
555,0.0003
556,0.0002
557,0.0005
558,0.0003
559,0.0002
560,0.0005
561,0.0005
562,0.0005
563,0.0004
564,0.0001
565,0.0002
566,0.0003
567,0.0005
568,0.0004
569,0.0004
570,0.0001
571,0.0003
572,0.0001
573,0.0004
574,0.0002
575,0.0003
576,0.0004
577,0.0003
578,0.0002
579,0.0002
580,0.0003
581,0.0004
582,0.0004
583,0.0004
584,0.0004
585,0.0004
586,0.0003
587,0.0004
588,0.0005
589,0.0005
590,0.0005
591,0.0003
592,0.0003
593,0.0004
594,0.0002
595,0.0003
596,0.0001
597,0.0001
598,-0.0002
599,-0.0001
600,-0.0002
